,words,occurences
0,also,5450043
1,first,4840311
2,one,4151416
3,new,4039430
4,two,3415323
5,time,2513534
6,may,2366872
7,school,2294105
8,years,2231659
9,would,2102544
10,later,2051542
11,world,1918571
12,city,1903162
13,national,1896237
14,made,1840000
15,state,1829694
16,three,1818763
17,used,1802567
18,university,1786601
19,united,1763848
20,known,1736899
21,season,1725188
22,many,1720074
23,year,1709567
24,part,1686043
25,became,1682161
26,born,1660281
27,film,1659127
28,team,1637528
29,second,1622272
30,including,1583512
31,states,1581685
32,american,1536124
33,south,1504540
34,early,1498143
35,war,1495502
36,history,1456008
37,however,1439843
38,family,1439359
39,well,1406769
40,since,1393061
41,work,1368317
42,life,1355687
43,following,1355683
44,area,1354203
45,people,1353739
46,series,1346423
47,north,1328862
48,name,1327863
49,career,1307305
50,album,1291004
51,music,1285930
52,played,1284708
53,group,1280263
54,district,1270690
55,number,1264123
56,several,1257769
57,high,1256255
58,released,1238522
59,county,1235657
60,company,1201447
61,called,1177835
62,league,1172583
63,four,1137488
64,house,1136279
65,government,1128343
66,march,1093798
67,game,1081502
68,international,1079554
69,september,1074163
70,january,1063406
71,club,1055502
72,found,1053066
73,june,1050813
74,october,1045195
75,began,1039386
76,located,1039008
77,july,1033920
78,west,1031876
79,use,1029104
80,august,1017644
81,college,1011907
82,john,1011147
83,station,1009305
84,population,1001296
85,april,997324
86,public,995710
87,home,990036
88,end,984602
89,november,983721
90,member,977855
91,place,975489
92,general,975004
93,town,974142
94,former,969319
95,december,969189
96,church,960058
97,age,946688
98,held,945123
99,named,938639
100,system,937147
101,york,930695
102,took,926772
103,day,918757
104,river,917879
105,around,916691
106,football,909790
107,british,908983
108,line,907354
109,east,904121
110,local,903455
111,song,889103
112,due,881083
113,along,876966
114,service,875907
115,party,875473
116,best,873960
117,february,873023
118,served,872119
119,back,871176
120,another,867621
121,based,864836
122,could,863489
123,within,861974
124,received,861871
125,century,858230
126,village,856782
127,built,853049
128,like,840788
129,members,835484
130,building,834565
131,major,833377
132,final,829801
133,show,825420
134,games,813653
135,although,810379
136,include,809414
137,species,808881
138,death,808392
139,band,798347
140,small,793974
141,main,790795
142,left,789768
143,president,788031
144,said,773875
145,published,773741
146,died,773046
147,large,767345
148,last,763329
149,five,761374
150,order,760885
151,single,760122
152,set,759400
153,third,759173
154,education,754944
155,according,750166
156,included,744210
157,long,739196
158,park,735400
159,still,731854
160,road,725514
161,army,720071
162,division,718264
163,book,717491
164,development,716728
165,among,706155
166,law,700770
167,often,697514
168,french,683567
169,moved,683252
170,times,683182
171,community,678354
172,central,677020
173,led,675373
174,english,672414
175,original,670680
176,old,669189
177,son,666951
178,children,666686
179,million,664235
180,different,663831
181,near,663277
182,top,660597
183,late,659686
184,water,658084
185,air,657883
186,great,654776
187,form,652644
188,much,652073
189,research,649326
190,side,649100
191,us,647523
192,art,646017
193,court,643683
194,play,642564
195,country,638128
196,even,634076
197,council,631940
198,german,626448
199,street,625041
200,record,624286
201,power,623806
202,established,622004
203,london,617139
204,land,614818
205,cup,613175
206,title,607907
207,started,607720
208,support,607229
209,political,606786
210,students,606010
211,award,605415
212,military,603436
213,period,602059
214,came,601998
215,went,599551
216,production,599042
217,white,597084
218,way,596774
219,given,592782
220,island,591069
221,make,589898
222,next,589538
223,role,589049
224,television,587594
225,king,587549
226,region,586141
227,works,584313
228,total,582959
229,championship,582572
230,using,581159
231,various,580701
232,head,580494
233,office,577850
234,six,577381
235,player,574791
236,become,572442
237,father,569807
238,list,569359
239,business,568900
240,western,565669
241,produced,557630
242,director,555882
243,married,555520
244,program,554602
245,association,553871
246,england,552989
247,field,550486
248,worked,550405
249,election,548583
250,black,547728
251,department,543493
252,joined,543255
253,announced,542698
254,created,542444
255,point,540451
256,returned,535797
257,professional,533627
258,union,533581
259,written,532778
260,young,528547
261,without,527983
262,take,527788
263,described,526751
264,site,523890
265,royal,522446
266,services,520794
267,radio,519563
268,together,518461
269,social,516783
270,force,514327
271,northern,513266
272,per,511993
273,founded,511812
274,act,510473
275,though,510166
276,society,509650
277,wrote,507437
278,women,507038
279,days,507028
280,lost,504507
281,continued,501203
282,design,500480
283,every,498350
284,version,497458
285,project,496466
286,summer,495211
287,live,494955
288,men,494914
289,man,494297
290,european,492921
291,southern,489054
292,position,487374
293,board,485960
294,india,483601
295,france,483518
296,round,483408
297,railway,482401
298,open,481996
299,level,481886
300,considered,480090
301,control,476848
302,opened,475795
303,run,475211
304,recorded,471309
305,important,471242
306,san,471124
307,video,466293
308,california,463907
309,special,461614
310,win,461514
311,popular,461389
312,appeared,461126
313,match,459368
314,release,458817
315,common,458776
316,battle,458105
317,areas,456958
318,hall,456395
319,event,455955
320,working,455416
321,records,453693
322,james,453361
323,formed,453029
324,right,452766
325,playing,451804
